"longitude","latitude","Sparse.Herbaceous.PLAND","Open.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Croplands.PLAND","Sparse.Forests.PLAND","Evergreen.Needleleaf.Forests.PLAND","Dense.Herbaceous.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Sparse.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Deciduous.Broadleaf.Forests.PLAND","Dense.Shrublands.PLAND"
-117.2044674,52.7101108,3.87980079097729e-06,3.27640270212259e-05,1.78389927710202e-05,0,0,-8.74169005382908e-06,8.39791608136973e-05,5.34735351879231e-06,0,-5.28167625708467e-10,-2.07862820030026e-10,2.46918737610472e-10,0,0
-117.7458092,52.47030443,0.00107146550550942,0.0036597154638697,0.0020803401385559,0,0,0.000202543500758015,0.00381712684341876,0.000241425234642482,0,4.41292806947674e-08,0,0,0,0
-117.3521503,52.47030443,0.00601136053596255,0.014593620001832,0.00845433713262294,0,0,-0.00135549764841496,0.0125409651243478,0.00159687749811902,0,2.09266661874977e-07,-6.02104974656308e-08,7.15229801613907e-08,0,0
-116.9584915,52.47030443,-0.00140561684921781,-0.0113626795539283,0.0129813229281174,0,0,-0.00185973268773598,-0.0014188667912316,0.000757319337853384,0,-1.05039372629672e-07,-3.59840727003598e-08,0,0,0
-116.5648326,52.47030443,0.00103080733388274,0.000273222661808353,-0.000504582792434635,0,0,-0.000126656776019975,0.000307341274485146,3.32463181369447e-05,-4.61207122257527e-07,-8.98602253409319e-10,-2.40883957652445e-09,0,0,0
-118.2833353,52.23049807,0.000128054786084591,6.59813211814486e-05,-1.74901949289663e-05,0,0,2.63078671383437e-05,0.000162909233975009,8.73381957274008e-06,-1.43404083565604e-08,1.21203535515788e-09,0,0,3.66274684647366e-10,0
-117.8918063,52.23049807,0.000584616268394049,-0.000582290326891045,0.000181869726203145,0,0,-1.36510553003964e-05,-0.000253986146629342,1.2246718848213e-05,-2.04775548518814e-07,1.00572398248256e-09,0,0,0,0
-117.5002773,52.23049807,0.00627113954469689,-0.00627193646701374,0.00530668365198568,0,0,-0.00063229755415128,-0.0032255684489576,0.000174969908283861,0,5.24061613304313e-08,0,0,0,0
-117.1087483,52.23049807,0.0126297855734544,-0.0026598184352844,0.0381175491920278,0,0,-0.00350523589140601,-0.0197633239522922,0.00205791002541959,0,1.84200666215349e-07,0,0,0,0
-116.7172193,52.23049807,0.000147364036039969,0.00730162327272969,0.00208982971206258,0,0,-0.0024533621073761,0.0238993506205987,0.00131651404253521,0,4.55790238060456e-08,0,0,0,0
-116.3256903,52.23049807,0.00301454983638849,-8.5223590940752e-05,-0.00341355650994062,0,0,-0.000924883452037057,0.000428696217221717,0.000243282772226021,0,-3.67802627709722e-08,0,0,0,0
-118.0382886,51.99069171,0.00210096287774528,0.00108284360399512,-0.00111753686948045,0,0,-4.19325386225146e-05,0.000162543210114257,7.71204736325708e-05,-1.04308674097848e-07,1.44729177928323e-08,0,0,2.89552359852533e-09,0
-117.6488598,51.99069171,0.00834301251582026,0.00245278453355062,0.00337851167854115,0,0,0.000448571987201225,0.0080843410408738,0.000678127923141629,-3.98108814663295e-06,3.41234670057596e-08,0,0,2.37320489874055e-08,3.04992390290345e-08
-117.259431,51.99069171,0.0146563675183463,-0.0181787109030362,0.0118271992906511,0,0,-0.001506070616972,-0.00448503208236904,0.000856757080841878,-7.15108256471698e-06,1.38118391947609e-07,0,0,3.71631181472908e-08,0
-116.8700022,51.99069171,0.00807923157981549,-0.000204331807705631,0.00972559007933175,0,0,-0.0014433867084347,0.0128956547943062,0.000858641338933906,0,1.52451735002799e-07,0,0,0,0
-116.4805733,51.99069171,7.03764597039993e-05,-0.00607377550223832,0.0115688810440075,0,0,-0.00278894970619477,0.00297637130779234,0.00203255958939286,0,2.71352232768936e-08,0,7.76628852408865e-08,0,0
-116.0911445,51.99069171,0.00117655291044191,0.0124638984544472,-0.00918169138321975,0,0,-0.00125982058140738,0.0145024378040817,0.00109500155793792,0,-1.05434948141704e-07,-3.62831957917423e-08,4.30146699431323e-08,0,0
-115.7017157,51.99069171,0.0006199714837044,0.00038576894271811,-0.00043088560909316,0,0,-5.6364915151232e-05,0.000242413546430939,1.12872066445982e-05,0,-3.6455233758217e-09,0,0,0,0
-117.4105515,51.75088535,0.00422690750450812,0.00420231034877709,-0.00122679301744738,0,0,0.000138008541061868,0.0048134702323128,0.000297783911640093,-2.29367378258949e-06,4.45495382769662e-08,0,0,1.16529772805948e-08,1.49363823006907e-08
-117.0231937,51.75088535,0.0122786988755504,0.00339232009355925,0.00825760595498583,0,0,-0.000696309647305675,0.00430170405634191,0.000600066166934763,-4.63040459046721e-06,5.33632527802653e-09,0,4.02543197196448e-08,3.14863659862601e-08,4.01927076967512e-08
-116.6358359,51.75088535,0.00842933072366215,0.00152834380876785,0.0123856196714283,0,0,1.49200655886105e-05,-0.00681900492926109,0.000621258508977175,0,1.04341299786204e-07,0,0,0,0
-116.2484781,51.75088535,0.00273738669159388,0.000105993705147954,0.0197838740479894,0,0,-0.00162885991245495,-0.0109505900402422,0.00117937408420539,0,2.59681644035542e-08,0,0,0,0
-115.8611203,51.75088535,0.0019380282558275,0.0151798252781747,0.00352511653287022,0,0,-0.00222646465498995,0.00852071677950107,0.00147152140266091,0,-9.5819357704635e-08,-5.05361912512339e-08,6.00418971073993e-08,0,0
