"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-108.4479282,47.91398357,84.75029727,1.337693222,0,12.69322235,0.535077289,0.505350773,0.118906064,0.624256837,0.089179548,0,0,0,0
-108.0901397,47.91398357,99.31629013,0,0,0,0.059453032,0,0,0,0.564803805,0,0.118906064,0,0
-107.7323511,47.91398357,94.38168847,0,0,0,0,0,0,0,5.588585018,0,0.029726516,0,0
-107.3745626,47.91398357,97.20570749,0,0,0,0,0,0,0,2.794292509,0,0,0,0
-120.4135444,47.67417721,51.36741974,7.253269917,0,33.23424495,0.713436385,6.212841855,0.297265161,0.237812128,1.189060642,0,0.505350773,0,0.14863258
-120.0574032,47.67417721,96.93161894,0.350672122,0,0.08766803,0.438340152,0.175336061,27.81998831,0,2.27936879,0,0.175336061,0,0.438340152
-119.701262,47.67417721,98.30558859,0.059453032,0,0,0.029726516,0,15.63614744,0,1.040428062,0,0.594530321,0,0.505350773
-119.3451208,47.67417721,96.23027469,0.029222677,0,0,0.613676213,0,18.23495032,0,0.789012274,0,1.052016365,0,0.204558738
-118.9889796,47.67417721,97.71105826,0,0,0,0.564803805,0,57.28299643,0,0.535077289,0,1.070154578,0,0
-118.6328384,47.67417721,99.94155465,0.058445354,0,0,0,0,44.76914085,0,0,0,0,0,0.029222677
-118.2766972,47.67417721,99.79191439,0.208085612,0,0,0,0,46.6706302,0,0,0,0,0,0.326991677
-117.920556,47.67417721,97.17598098,2.199762188,0,0,0.14863258,0.029726516,60.31510107,0,0.594530321,0,0,0,1.575505351
-117.5644148,47.67417721,65.1902497,25.59453032,0,1.099881094,0.059453032,5.142687277,14.89298454,0.118906064,2.645659929,0,0.208085612,0,10.58263971
-112.9345793,47.67417721,43.62945646,8.29924021,0,13.38398597,0.321449445,31.12215079,0,0,3.360607832,0,0.204558738,0,0
-112.5784381,47.67417721,82.0451843,3.478002378,0,0.891795482,0.118906064,7.045184304,6.064209275,0,5.737217598,0,0.683709869,0,0
-112.2222969,47.67417721,97.13617767,0,0,0,0.263004091,0.029222677,18.23495032,0,1.519579193,0,0.81823495,0,0
-111.8661557,47.67417721,97.50297265,0,0,0,0.326991677,0,43.19262782,0,1.694411415,0,0.743162901,0,0.059453032
-109.7293086,47.67417721,96.31794272,0.379894798,0,0,0,0,1.54880187,0,3.272939801,0,0.029222677,0,0
-109.3731674,47.67417721,85.40428062,0.862068966,0,0,0,0,0.14863258,0,13.73365042,0,0,0,0
-109.0170262,47.67417721,74.69316189,16.39392168,0,0,0,0,0,0,8.708357686,0,0.204558738,0,0.08766803
-108.660885,47.67417721,64.92271106,24.40546968,0,0,0,0,0,0,10.67181926,0,0,0,0.14863258
-108.3047438,47.67417721,92.63588545,1.782583285,0,0,0.467562829,0,0,0,4.792518995,0,0.64289889,0,0
-107.9486026,47.67417721,94.61950059,0.029726516,0,0,0.386444709,0,0,0,3.180737218,0,1.456599287,0,0
-107.5924614,47.67417721,76.01070155,0.237812128,0,0,0.505350773,0,0,0,14.68489893,0,3.775267539,0,0
-107.2363202,47.67417721,73.5136742,0.178359096,0,0,0.653983353,0,0,0,15.10107015,0,5.142687277,0,0
-120.2182718,47.43437084,86.2960761,5.529131986,0,0.505350773,0.505350773,2.199762188,1.575505351,0,4.785969084,0,0.683709869,0,9.690844233
-119.8637567,47.43437084,98.92984542,0.089179548,0,0,0.029726516,0,4.429250892,0,0.772889417,0,0.208085612,0,1.307966706
-119.5092416,47.43437084,98.07130333,0.058445354,0,0,0.029222677,0,14.52367037,0,0.73056692,0,1.139684395,0,1.46113384
-119.1547265,47.43437084,99.16765755,0.029726516,0,0,0,0,8.20451843,0,0.237812128,0,0.564803805,0,0.386444709
-118.8002114,47.43437084,99.70777323,0.029222677,0,0,0,0,17.15371128,0,0.146113384,0,0.116890707,0,0.379894798
-118.4456963,47.43437084,100,0,0,0,0,0,54.31034483,0,0,0,0,0,0
-118.0911812,47.43437084,100,0,0,0,0,0,59.17592051,0,0,0,0,0,0.116890707
-117.736666,47.43437084,99.97027348,0.029726516,0,0,0,0,39.80380499,0,0,0,0,0,0.089179548
-117.3821509,47.43437084,96.70035672,2.170035672,0,0.178359096,0.297265161,0.891795482,60.22592152,0,0.059453032,0,0,0,0.802615933
-114.54603,47.43437084,75.53507729,1.575505351,0,3.953626635,0.178359096,18.48989298,1.783590963,0,0.445897741,0,0,0,0
-114.1915149,47.43437084,84.78002378,0.891795482,0,3.032104637,0.267538644,5.469678954,22.26516052,0,3.894173603,0,1.872770511,0,0.089179548
-113.4824847,47.43437084,29.0725327,8.085612366,0,13.46611177,0,43.96551724,0,0.14863258,5.023781213,0,0.237812128,0,0
-112.7734545,47.43437084,61.50416171,8.115338882,0,2.170035672,0,25.98097503,0.386444709,0,2.229488704,0,0,0,0
-112.4189393,47.43437084,92.98655757,1.665692577,0,1.46113384,0.08766803,3.594389246,2.717708942,0,0.263004091,0,0.029222677,0,0
-112.0644242,47.43437084,99.4351962,0,0,0,0,0,7.75862069,0,0.416171225,0,0.118906064,0,0
-111.7099091,47.43437084,99.70777323,0,0,0,0,0,13.93921683,0,0.292226768,0,0,0,0
-111.355394,47.43437084,98.87039239,0.089179548,0,0,0,0,23.09750297,0,1.040428062,0,0,0,1.486325803
-111.0008789,47.43437084,96.55172414,0,0,0,0,0,64.06064209,0,3.210463734,0,0.237812128,0,4.280618312
-110.6463638,47.43437084,96.96789536,0.118906064,0,1.575505351,1.783590963,1.27824019,38.82282996,0.059453032,0,0,0,0,0
-110.2918487,47.43437084,99.13793103,0.059453032,0,0.029726516,0.267538644,0.297265161,30.97502973,0,0.475624257,0,0,0,0.118906064
-109.9373335,47.43437084,99.79191439,0,0,0,0.029726516,0,13.46611177,0,0.208085612,0,0,0,0.059453032
-109.5828184,47.43437084,99.73246136,0,0,0.178359096,0.14863258,0.029726516,7.550535077,0,0.059453032,0,0,0,0
-109.2283033,47.43437084,100,0,0,0,0,0,0.81823495,0,0,0,0,0,0
-108.8737882,47.43437084,99.85136742,0.14863258,0,0,0,0,0.14863258,0,0,0,0,0,0
-108.5192731,47.43437084,99.35710111,0.321449445,0,0,0,0,0,0,0.321449445,0,0,0,0
-108.164758,47.43437084,99.64328181,0.297265161,0,0,0,0,0,0,0.059453032,0,0,0,0
-107.8102429,47.43437084,91.26241964,0,0,0,1.081239041,0,0,0,3.82817066,0,3.477498539,0,0
-107.4557278,47.43437084,97.88941736,0.118906064,0,0,0.029726516,0,0.267538644,0,0.862068966,0,0.653983353,0,0
-107.1012126,47.43437084,97.65160523,0.356718193,0,0,0,0,0,0,1.991676576,0,0,0,0
-106.7466975,47.43437084,98.12722949,0,0,0,0,0,0,0,1.872770511,0,0,0,0
-120.7326873,47.19456448,50.8766803,4.646405611,0,20.25131502,0.204558738,23.40736411,0.759789597,0,0.263004091,0,0,0,0.029222677
-120.3797774,47.19456448,66.20095125,9.066587396,0,8.20451843,0.029726516,14.83353151,0.832342449,0,1.12960761,0,0.564803805,0,0.14863258
-119.6739574,47.19456448,97.23543401,0.386444709,0,0,0.743162901,0,66.91438763,0,1.843043995,0,0.416171225,0,5.410225922
-119.3210474,47.19456448,93.04399524,1.070154578,0,0,0.683709869,0,40.87395957,0,4.696789536,0,1.189060642,0,9.898929845
-118.9681375,47.19456448,99.85388662,0,0,0,0,0,52.80537697,0,0.146113384,0,0,0,0.964348334
-118.6152275,47.19456448,99.8216409,0.059453032,0,0,0,0,72.29488704,0,0.118906064,0,0,0,0.505350773
-118.2623175,47.19456448,100,0,0,0,0,0,44.7106955,0,0,0,0,0,0.146113384
-117.9094076,47.19456448,98.92984542,0,0,0,0.416171225,0,51.90249703,0,0.862068966,0,0.208085612,0,0.267538644
-117.5564976,47.19456448,99.59088252,0,0,0,0.204558738,0,73.61192285,0,0.350672122,0,0.058445354,0,0.321449445
