"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-120.349795,50.07224082,-0.197877973571738,-0.619797756025484,-0.558299177795649,0.340742533637872,0.0236876802462622,0.0986601061885856,-0.0426165246791922,-0.103509844220403,3.59913457374823e-06,-1.87159931416467e-05,-9.22785829744112e-08,-2.67972181642201e-06,1.2841312605752e-06
-122.6297536,49.35282174,0.454842151332083,-0.588691420065874,-0.558299177795649,0.516872141313767,-0.0793365591340649,-0.135090526790922,-0.0426300697379211,0.295546213457867,3.5989707754469e-06,-1.87159931416467e-05,-9.01925318203818e-08,-2.67972181642201e-06,1.2841312605752e-06
-121.8934733,49.35282174,0.430020970101304,-0.413254462632679,-0.558299177795649,0.505035009215141,-0.154790796047149,-0.112594880990099,-0.0425141872028778,0.305625933484049,3.59580690449863e-06,-1.87159931416467e-05,-9.02074245710308e-08,-2.67972181642201e-06,1.28387955516342e-06
-119.6846326,49.35282174,0.31405670009877,-0.388331020945344,-0.558299177795649,0.39294242242747,-0.01615413924082,0.117435057422911,-0.0426300697379211,-0.103509844220403,3.59846303039545e-06,-1.87159931416467e-05,-9.09288626601518e-08,-2.67972181642201e-06,1.21605319769827e-06
-122.4022477,49.11301537,0.244628309406119,0.149847108157948,-0.558299177795649,0.201577688941021,-0.147007045199705,-0.0916370793210614,-0.00816742690891713,0.284002633511673,3.59696463188339e-06,-1.87159931416467e-05,-1.02493989765167e-07,-2.67972181642201e-06,-2.33938977663147e-06
-122.0358904,49.11301537,0.290301064329187,0.315331658767729,-0.558299177795649,0.449545817421169,-0.153316277527292,-0.122805611242445,-0.0204738670308899,0.276547838617582,3.59768736484782e-06,-1.87159931416467e-05,-9.14723320541998e-08,-2.67972181642201e-06,3.33496875299015e-07
-119.8377465,49.11301537,-0.0518509499802355,0.304539697114187,-0.558299177795649,0.385994830164795,0.0787537480680423,0.0957645302360889,-0.0426165246791922,-0.103509844220403,3.55431142263559e-06,-1.87159931416467e-05,-9.09288626601518e-08,-2.67972181642201e-06,1.20579392356255e-06
-119.1050319,49.11301537,0.308106104012905,-0.263297566836411,-0.558299177795649,0.401456372294798,0.184601517213274,0.129149557840379,-0.0426300697379211,-0.101819746906485,3.59999994339119e-06,-1.87159931416467e-05,-9.01925318203818e-08,-2.67972181642201e-06,1.25678479475406e-06
-119.6268783,48.87320901,-0.412293218124216,-0.100854314072317,-0.558299177795649,0.279548657710948,-0.0793365591340649,0.1026940106235,-0.0425076096551838,-0.103509844220403,3.58480216785159e-06,-1.87159931416467e-05,-9.04996086296416e-08,-2.67972181642201e-06,1.25775408376148e-06
-119.2622803,48.87320901,-0.302951509193665,0.330622738184401,-0.558299177795649,0.328564631048706,-0.0242977566211839,0.0959072377127918,-0.0425919872426495,-0.103509844220403,3.59916078147593e-06,-1.87159931416467e-05,-9.04996086296416e-08,-2.67972181642201e-06,7.98316888604964e-07
