"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-120.349795,50.07224082,-1.56128004046794e-05,-4.89027580049776e-05,0,2.68849790153333e-05,1.86898529967349e-06,7.78439620147223e-06,-3.36249296345306e-06,0,2.83975870154846e-10,0,-7.28088665757339e-12,0,0
-122.6297536,49.35282174,8.61632556532474e-05,-0.000111519060358537,0,9.79139385424812e-05,-1.50291616713564e-05,-2.55909430604196e-05,0,5.59869481597959e-05,6.81772870225899e-10,0,0,0,0
-121.8934733,49.35282174,2.19706251169105e-07,-2.11139909624732e-07,0,2.5803241306505e-07,-7.90856908838399e-08,-5.75269601325223e-08,-2.17213423095282e-08,1.56150357248903e-07,1.83716913788941e-12,0,-4.60887641722496e-14,0,6.55959554603028e-13
-119.6846326,49.35282174,0.00025963341442969,-0.000321036643591105,0,0.000324848929435457,-1.33547678713675e-05,9.70845867095598e-05,0,0,2.97488078740799e-09,0,-7.51716842061924e-11,0,1.00532178981455e-09
-122.4022477,49.11301537,2.55015991667774e-07,1.5621008450828e-07,0,2.10137307363114e-07,-1.53249423604178e-07,-9.55282759927967e-08,-8.51424137136056e-09,2.96062272584332e-07,3.74970298744464e-12,0,-1.06846204772476e-13,0,-2.43872757504413e-12
-122.0358904,49.11301537,3.51991432523407e-07,3.82341148304484e-07,0,5.45076459242848e-07,-1.85896721669587e-07,-1.48902392497342e-07,-2.48246619493091e-08,3.35315580399917e-07,4.36221318116892e-12,0,-1.10910641235212e-13,0,4.043665604528e-13
-119.8377465,49.11301537,-0.000376592000843619,0.00221186331043612,0,0.00280346966569488,0.00057198627161476,0.000695535107171708,-0.000309522627918216,0,2.58148645450447e-08,0,-6.60413788689965e-10,0,8.75764757352738e-09
-119.1050319,49.11301537,0.000159141055080232,-0.000135996827199014,0,0.000207357757031003,0,6.67075290952449e-05,0,-5.25913045527379e-05,1.859449656525e-09,0,0,0,6.49146692132974e-10
-119.6268783,48.87320901,-0.00747425408906295,-0.00182833657265628,0,0.00506779545754889,-0.00143825213574412,0.00186168749589695,-0.000770598839163609,0,6.49870555316146e-08,0,-1.64062138333526e-09,0,2.28011841823641e-08
-119.2622803,48.87320901,-0.00120638923446189,0.00131657938617166,0,0.00130838375678371,-9.67565802441105e-05,0.000381914120156192,-0.000169606400115418,0,1.43322897827003e-08,0,-3.60380292755105e-10,0,3.17899357116745e-09
-118.8976822,48.87320901,2.32056383964381e-05,-5.52905012883645e-05,0,0.000259033930506575,0,8.64716878344128e-05,0,0,0,0,0,0,0
-118.5330842,48.87320901,0.000157599360929289,7.15583693887491e-05,0,0.000210754842193693,0,6.8481613930652e-05,0,0,0,0,0,0,6.78825842477187e-10
-119.7829696,48.63340265,-0.00260534384911959,0.00320951499841685,0,0.000791692809601245,0.00130083564732166,0.00069675598293651,0,0,2.61988739663735e-08,0,0,0,8.93434973179005e-09
-119.4201076,48.63340265,-0.00704533872509608,-0.00450624049934635,0,-0.000344381648172085,0,0.00171196791042151,-0.000776842049093029,0,0,0,0,0,1.61735191099103e-08
-119.0572457,48.63340265,-0.000395897962311879,-0.000295827028870063,0,3.09035290761823e-05,0,0.000333636345229882,-0.000123458269878594,0,0,0,0,0,3.70582322491246e-09
-120.300821,48.39359629,-9.24250512472848e-05,0.000243706537698462,0,0.000326746898393553,0.00017366823735232,9.81414671996207e-05,0,0,3.11468935314764e-09,0,-1.17714400190754e-10,0,1.14459289484153e-09
-119.9396724,48.39359629,-0.00268645678789055,0.00376179957943693,0,-0.0014240019978957,0,0.000715922508911391,-0.00035603654240835,0,3.00705966669405e-08,0,0,0,1.0391949430233e-08
-119.5785239,48.39359629,-0.00523056335304142,0.00622230590228633,0,-0.00538571966487887,0.00234068816606213,0.00150303665943006,-0.000759613484628484,0,6.40887218885752e-08,0,-1.68645215629552e-09,0,-1.72392919558989e-08
-119.2173753,48.39359629,-0.00163779389825479,-0.000456404947907229,0,-0.00165363405210096,0,0.000966168720922017,-0.000361670469296521,0,3.05479657836556e-08,0,0,0,9.26019606406337e-09
-120.0969963,48.15378993,-0.00322029939555732,0.00475564671603075,0,0.002708143451169,-0.000507459283612262,-4.6710311864682e-05,-0.00033914003728396,-0.000827601889440817,2.72291703132784e-08,0,-7.37581810037903e-10,0,8.31674236030946e-09
-119.7375387,48.15378993,0.010769530609895,-0.0241081406879211,0,-0.0289489900737989,-0.0143023661669299,-0.0130161954844078,-0.00357877217684718,0,3.48135669302192e-07,0,-8.86260117183055e-09,0,9.78437179249432e-08
-119.3780812,48.15378993,0.0538134274978941,-0.189327799181006,0,-0.0874222251330009,0,-0.0397303746110769,-0.0113613191622771,0,9.5949889105265e-07,0,-2.41245631171626e-08,0,3.29035026403523e-07
-119.0186236,48.15378993,-0.00621948464272191,0.0110162742141736,0,0.000722676279931963,0.00224356435652586,0.000956538061937215,0,0,6.22687991479018e-08,0,-1.7577130808532e-09,0,0
-118.6591661,48.15378993,0.000354319545371002,0.000591070349793303,0,0.00036859148624984,-0.000141392749818414,0.00011085980923883,0,0,3.33643473436038e-09,0,-8.36586234087371e-11,0,1.18996215319521e-09
-108.5943546,48.15378993,0.000120382342947311,0,0,0,0,0,0,0,2.12743139397981e-09,0,0,0,0
-108.234897,48.15378993,0.000111792679725527,0,0,0,0.00010948280669835,0,0,0,2.07890764840556e-09,0,-5.57702098778338e-11,0,0
-120.6127391,47.91398357,-0.000193410283589039,0.000243942662280221,0,0.00151822926432741,0.00062261064533271,0.000121997703674487,0,4.73815847149049e-05,1.27177615278619e-08,0,0,0,0
-120.2549505,47.91398357,-0.00577261457949007,0.00641684878448304,0,0.00257988594413999,-0.00196229046904743,0.000607903950042178,-0.000603400007121914,0,4.9647137750742e-08,0,-1.45088333832826e-09,0,1.44220514406371e-08
-119.897162,47.91398357,0.0320707282524538,-0.129507251664423,0,-0.0689099652532541,0.0246937844404933,-0.0298477145579843,-0.00784721841685764,0,7.3942975819236e-07,0,-2.37129020348266e-08,0,2.58948986308293e-07
-119.5393734,47.91398357,0.101507646786946,-0.261835269802679,0,0,0.0817194651551881,0,-0.0222805410129921,0,1.95207883857875e-06,0,-6.37837720256371e-08,0,5.98450659822048e-07
-119.1815849,47.91398357,0.0520434073331236,-0.261835269802679,0,0,-0.0264054625319006,0,0.0131363027106978,0,1.36804051897232e-06,0,-9.26826352319574e-08,0,4.84589590050595e-07
-118.8237963,47.91398357,0.017149173673695,-0.0839328206896087,0,0,-0.00337609346452837,0,0.00829731947267465,0,4.19332946481695e-07,0,-2.65406328701724e-08,0,4.1340633208229e-09
