"longitude","latitude","abd_ppy"
-120.349795,50.07224082,-0.187232724970341
-122.6297536,49.35282174,-3.61560800413531
-121.8934733,49.35282174,-2.45742858703907
-119.6846326,49.35282174,-0.062298208188559
-122.4022477,49.11301537,-1.03654132566308
-122.0358904,49.11301537,-1.74452599807332
-119.8377465,49.11301537,-3.1431847830132
-119.1050319,49.11301537,-0.775476668303241
-119.6268783,48.87320901,-4
-119.2622803,48.87320901,1.82206929573877
-118.8976822,48.87320901,-2.09280676336749
-118.5330842,48.87320901,1.34672941509981
-119.7829696,48.63340265,-4
-119.4201076,48.63340265,0.407114583433517
-119.0572457,48.63340265,1.45782243630968
-120.300821,48.39359629,-3.55958599512304
-119.9396724,48.39359629,-0.461577787205064
-119.5785239,48.39359629,-0.971038582808941
-119.2173753,48.39359629,0.433956040873106
-120.0969963,48.15378993,-4
-119.7375387,48.15378993,-4
-119.3780812,48.15378993,-4
-119.0186236,48.15378993,1.09716737866721
-118.6591661,48.15378993,-1.05795783004253
-108.5943546,48.15378993,-4
-108.234897,48.15378993,-4
-120.6127391,47.91398357,-4
-120.2549505,47.91398357,-2.86540982549661
-119.897162,47.91398357,-4
-119.5393734,47.91398357,-4
-119.1815849,47.91398357,-4
-118.8237963,47.91398357,-4
-118.4660078,47.91398357,-2.67926762279326
-118.1082192,47.91398357,-0.820908426005236
-112.7413909,47.91398357,-4
-112.3836023,47.91398357,-3.27616057007541
-108.8057168,47.91398357,-0.740194123361137
-108.4479282,47.91398357,-3.72712564701561
-108.0901397,47.91398357,-4
-107.7323511,47.91398357,-4
-107.3745626,47.91398357,-4
-120.4135444,47.67417721,-1.48032343842534
-120.0574032,47.67417721,-4
-119.701262,47.67417721,-4
-119.3451208,47.67417721,-4
-118.9889796,47.67417721,-4
-118.6328384,47.67417721,1.86846690629928
-118.2766972,47.67417721,-3.75424166109124
-117.920556,47.67417721,-4
-117.5644148,47.67417721,-2.72798563755715
-112.9345793,47.67417721,-1.25723489818782
-112.5784381,47.67417721,-1.43160084076549
-112.2222969,47.67417721,-4
-111.8661557,47.67417721,-4
-109.7293086,47.67417721,-4
-109.3731674,47.67417721,-4
-109.0170262,47.67417721,-4
-108.660885,47.67417721,-4
-108.3047438,47.67417721,-4
-107.9486026,47.67417721,-4
-107.5924614,47.67417721,-4
-107.2363202,47.67417721,-4
-120.2182718,47.43437084,-4
-119.8637567,47.43437084,-4
-119.5092416,47.43437084,-2.77017740182961
-119.1547265,47.43437084,-4
-118.8002114,47.43437084,0.575689445835727
-118.4456963,47.43437084,4
-118.0911812,47.43437084,2.04967981543816
-117.736666,47.43437084,-0.913051498773729
-117.3821509,47.43437084,-3.0954421313865
-114.54603,47.43437084,-3.12237278233253
-114.1915149,47.43437084,-1.53387145095559
-113.4824847,47.43437084,-1.39351062425969
-112.7734545,47.43437084,-2.91213571542401
-112.4189393,47.43437084,-2.41148728665976
-112.0644242,47.43437084,-4
-111.7099091,47.43437084,-4
-111.355394,47.43437084,-4
-111.0008789,47.43437084,-3.13929270207061
-110.6463638,47.43437084,-4
-110.2918487,47.43437084,-4
-109.9373335,47.43437084,-4
-109.5828184,47.43437084,-4
-109.2283033,47.43437084,-4
-108.8737882,47.43437084,-4
-108.5192731,47.43437084,-4
-108.164758,47.43437084,-4
-107.8102429,47.43437084,-4
-107.4557278,47.43437084,-4
-107.1012126,47.43437084,-4
-106.7466975,47.43437084,-4
-120.7326873,47.19456448,-2.38111404680712
-120.3797774,47.19456448,-3.46184728449934
-119.6739574,47.19456448,-4
-119.3210474,47.19456448,-4
-118.9681375,47.19456448,3.99132683728983
-118.6152275,47.19456448,3.79137780620056
-118.2623175,47.19456448,2.75061242733356
-117.9094076,47.19456448,-4
-117.5564976,47.19456448,-4
-117.2035876,47.19456448,-3.33646455936204
-114.7332179,47.19456448,-1.97810623161864
-114.0273979,47.19456448,0.121799259045078
-113.6744879,47.19456448,-2.60363178892923
-113.321578,47.19456448,-2.23244748297174
-112.968668,47.19456448,-2.21448993605206
-112.2628481,47.19456448,-2.06553507254511
-111.9099381,47.19456448,-2.07648389133805
-111.5570281,47.19456448,-4
-111.2041182,47.19456448,-1.24017616692401
-110.8512082,47.19456448,-2.02717106609741
-110.4982982,47.19456448,-4
-110.1453883,47.19456448,-2.25866935554511
-109.7924783,47.19456448,-3.81151376944012
-109.4395683,47.19456448,-1.35819717405269
-109.0866583,47.19456448,-4
-108.7337484,47.19456448,-4
-108.3808384,47.19456448,-4
-108.0279284,47.19456448,-4
-107.6750185,47.19456448,-4
-107.3221085,47.19456448,-4
-106.9691985,47.19456448,-4
-106.6162886,47.19456448,-4
-120.8932545,46.95475812,-3.19030216313836
-120.5419291,46.95475812,-4
-120.1906036,46.95475812,-4
-119.8392782,46.95475812,-4
-119.4879528,46.95475812,-4
-119.1366274,46.95475812,-3.96621519503847
-118.785302,46.95475812,3.2015040623247
-118.4339765,46.95475812,-2.13454846020244
-118.0826511,46.95475812,-2.81991791199211
-117.7313257,46.95475812,-4
-117.3800003,46.95475812,-4
-114.9207223,46.95475812,-3.15348669113584
-114.5693969,46.95475812,-0.461092451848513
-114.2180715,46.95475812,2.23230351744428
-113.5154206,46.95475812,-1.15687704860906
-113.1640952,46.95475812,-1.9216315914325
-112.8127698,46.95475812,-0.515203046025039
-112.110119,46.95475812,-2.99926794381924
-111.4074681,46.95475812,0.726524624918545
-110.3534918,46.95475812,-2.76044671212268
-110.0021664,46.95475812,-2.98357445179811
-109.650841,46.95475812,-1.47366392505995
-109.2995156,46.95475812,0.0677356364419972
-108.9481902,46.95475812,-3.88710859267527
-108.5968647,46.95475812,-4
-108.2455393,46.95475812,-4
-107.8942139,46.95475812,-4
-107.5428885,46.95475812,-3.97091793131491
-107.1915631,46.95475812,-4
-106.8402376,46.95475812,-4
-106.4889122,46.95475812,-4
-121.0544973,46.71495176,-3.72021993538529
-120.7047362,46.71495176,-4
-120.354975,46.71495176,-4
-120.0052139,46.71495176,-4
-119.6554528,46.71495176,-4
-119.3056916,46.71495176,-4
-118.9559305,46.71495176,-2.14455672796375
-118.6061693,46.71495176,-4
-118.2564082,46.71495176,-4
-117.9066471,46.71495176,-4
-117.5568859,46.71495176,-4
-114.4090357,46.71495176,-1.41480998067264
-114.0592745,46.71495176,0.714633928472263
-113.7095134,46.71495176,-1.26824262233326
-113.3597523,46.71495176,-0.450224439826681
-113.0099911,46.71495176,-0.882533087480351
-112.66023,46.71495176,-0.334549096000303
-112.3104689,46.71495176,-2.07783053041684
-111.9607077,46.71495176,-3.10946746375868
-111.6109466,46.71495176,-0.395383151407838
-111.2611854,46.71495176,-1.89545364801943
-110.9114243,46.71495176,-2.69604714103914
-110.5616632,46.71495176,-2.19800804351135
-110.211902,46.71495176,-3.18776631836982
-109.8621409,46.71495176,-4
-109.5123797,46.71495176,-2.36089313697023
-109.1626186,46.71495176,-4
-108.8128575,46.71495176,-0.448884744246093
-108.4630963,46.71495176,-2.79390750833535
-108.1133352,46.71495176,-3.46920538722803
-107.7635741,46.71495176,-4
-107.4138129,46.71495176,-4
-107.0640518,46.71495176,-2.91298996389724
-106.7142906,46.71495176,-2.51975499965164
-106.3645295,46.71495176,-3.91816206833372
-121.2164246,46.4751454,-3.68521965681057
-120.8682078,46.4751454,-4
-120.519991,46.4751454,-4
-120.1717743,46.4751454,-4
-119.8235575,46.4751454,-4
-119.4753407,46.4751454,-4
-119.1271239,46.4751454,-4
-118.7789071,46.4751454,-4
-118.4306903,46.4751454,-4
-118.0824735,46.4751454,-4
-117.7342567,46.4751454,-1.15153284778295
-117.3860399,46.4751454,-2.99332042105419
-114.6003055,46.4751454,-1.92200088592957
-114.2520887,46.4751454,-1.82932689840062
-113.9038719,46.4751454,-2.34067788009347
-113.5556551,46.4751454,-2.40082901109497
-113.2074383,46.4751454,-1.63556457521578
-112.8592215,46.4751454,-1.47538766748583
-112.5110047,46.4751454,-1.1175348311057
-112.1627879,46.4751454,-0.916636650679055
-111.8145711,46.4751454,-2.54126288549454
-111.4663543,46.4751454,-1.86014439687472
-111.1181375,46.4751454,-3.57847172879092
-110.7699208,46.4751454,-2.06552866217936
-110.421704,46.4751454,-2.42784748156252
-110.0734872,46.4751454,-3.26278648359757
-109.7252704,46.4751454,-3.61739197926287
-109.3770536,46.4751454,-4
-109.0288368,46.4751454,-2.42901773356467
-108.68062,46.4751454,-3.77721781268016
-108.3324032,46.4751454,-4
-107.9841864,46.4751454,-4
-107.6359696,46.4751454,-4
-107.2877528,46.4751454,-3.92565100856259
-106.939536,46.4751454,-4
-106.5913192,46.4751454,-4
-106.2431024,46.4751454,-4
-121.0323532,46.23533904,-4
-120.6856611,46.23533904,0.520801710423411
-120.338969,46.23533904,-3.59801514969723
-119.9922769,46.23533904,-4
-119.6455848,46.23533904,-4
-119.2988928,46.23533904,-4
-118.9522007,46.23533904,-2.67672389529825
-118.6055086,46.23533904,-4
