"longitude","latitude","Herbaceous.Croplands.PLAND","Sparse.Shrublands.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Shrubland.Grassland.Mosaics.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Wetlands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND"
-119.4201076,48.63340265,2.32848382990196e-05,0,4.51239021829341e-06,0,0,9.39776212164182e-06,-2.55827204064448e-07,0,-2.68993601916761e-10,0,-5.85570784490357e-11,0
-119.9396724,48.39359629,9.10386471869767e-05,0,1.43961178279769e-05,3.32446736458507e-05,0,2.63395431954784e-05,5.57106013125926e-07,0,-1.55413063963369e-09,0,-1.83371943351193e-11,0
-120.0969963,48.15378993,0.000424831157922441,0,6.73880811123111e-05,0.000156010681005981,0,3.4400280410699e-05,4.62854902636067e-06,4.25531393450981e-08,-6.21232448043842e-09,-7.17079695088342e-09,-1.72997689640501e-09,-2.52123571897219e-11
-119.7375387,48.15378993,0.0093485537188742,0,0.00685944242788515,0.00725340112059695,0,-0.00482510568400401,-0.000219538843977605,1.88725480272269e-06,-2.67081284623036e-07,-4.97149832759106e-07,5.00367438737044e-08,0
-119.3780812,48.15378993,0.0234660722704085,0,0.00924306681472733,0.00856589861694902,0,-0.00669422518530812,-0.000535785816603327,2.23368685708736e-06,-3.96859649909582e-07,0,7.70286904186952e-08,0
-119.0186236,48.15378993,0,0,0.000112638620667147,0.000272521524949561,0,0.000159831693624023,9.18737690184135e-06,6.81135429233975e-08,0,1.04137941172292e-08,-2.38611191932563e-09,0
-120.6127391,47.91398357,0,0,1.73080173098175e-05,3.78331230398394e-05,0,1.762025701113e-05,-3.54910002109186e-07,0,0,2.35985808631785e-09,-1.05666803233865e-10,1.35272358226164e-10
-120.2549505,47.91398357,0.000320187532889343,0,4.85559525031953e-05,0.000114351152332419,0,5.99749052045053e-05,1.98435271336103e-06,2.90950585943426e-08,-4.34102027771099e-09,-3.62257286461219e-09,-1.31113984953723e-09,0
-119.897162,47.91398357,0.00973889954355789,0,0.00649580273197798,0.0064193090517336,0,-0.00480850343677187,-0.00036239963967904,1.5224709802492e-06,-3.04615061682231e-07,2.14047884147077e-07,6.11342348991883e-08,0
-119.5393734,47.91398357,0.0739194917279681,0,0.0357188747929024,0.0337347708041436,0,0,-0.00211016064880701,7.93616791640614e-06,-1.37186270046027e-06,1.65959751683173e-06,0,0
-119.1815849,47.91398357,-0.06336605797572,0,0.0192362004332312,0.0195668561521286,0,0,-0.00123287148910854,2.20090502609601e-06,-9.4174924173424e-07,-8.96362917006417e-07,0,0
-118.8237963,47.91398357,-0.00864703785502779,0,0.00226588460922562,0.00225918602642618,0,0,-0.000143082751419812,2.94962944253239e-07,8.05835477786747e-09,-7.30290046527147e-08,0,0
-120.4135444,47.67417721,0.000825585263384039,0,0.000177139103624246,0.00030128937161718,0,-4.20068273114958e-05,1.90503425758262e-06,7.71885540925805e-08,-1.45836867911211e-08,-1.32215365279159e-08,-7.06649066901304e-10,1.13212584968378e-09
-120.0574032,47.67417721,-0.0234182590262284,0,0.00674488507331251,0.00624472147059417,0,-0.00495067293890749,-0.000395860411349733,1.64922813941373e-06,-2.86394888593801e-07,1.58423380905622e-08,6.04271255536068e-08,0
-119.701262,47.67417721,-0.0564224480567192,0,0.0280524644961041,0.0259814214954125,0,0,-0.00163969770490962,6.59570583491359e-06,-1.14978076441814e-06,1.75497367588866e-06,0,0
-119.3451208,47.67417721,-0.0544198128625625,0,0.0215783308561708,0.0203910748296718,0,0,-0.00128545233904947,4.86016112230613e-06,-9.77706232910936e-07,-6.2270947203268e-07,0,0
-118.9889796,47.67417721,-0.0066365470324481,0,0.00235469831651163,0.00219430319238913,0,0,0,5.20877506702625e-07,0,-4.92912040380083e-08,0,0
-118.6328384,47.67417721,-0.00181450244229148,0,0.000558184755829142,0,0,0,-3.24679071749081e-05,0,-2.50680099247739e-08,0,0,0
-118.2766972,47.67417721,-0.00037058364076614,0,0.000116450372216895,0,0,0,-6.75856668234819e-06,0,-5.02635104106151e-09,0,0,0
-120.5727869,47.43437084,0,0,1.14163785023894e-05,2.54139423314228e-05,0,2.89273965903079e-05,7.25714319960605e-07,6.51606438977304e-09,-1.29464887962625e-09,1.3282496973491e-09,-2.02685019748589e-10,2.75470477165431e-11
-120.2182718,47.43437084,0.0268229143363688,0,0.00873057210182289,0.0101373579264489,0,-0.00690315098782696,-0.000124353094567905,2.70643710997664e-06,1.52549936337779e-06,-1.22415424349147e-07,9.63146487594554e-08,0
-119.8637567,47.43437084,0.0602834763494297,0,0.0449487085657264,0.0415658531584296,0,0,-0.00261906110269997,1.08281079045207e-05,-9.90956331666829e-07,2.80390669025413e-06,0,0
-119.5092416,47.43437084,-0.0603153078787917,0,0.0337618226110959,0.0313609592519388,0,0,-0.00197622547812546,7.3577005462022e-06,-5.97829310566775e-07,2.11561472026405e-06,0,0
-119.1547265,47.43437084,-0.00174965186744035,0,0.026347550250256,0.0243835062967604,0,0,-0.0015346548580491,6.19012797987031e-06,-1.12054830794211e-06,0,0,0
-118.8002114,47.43437084,-0.0203663537129009,0,0.00891547917833048,0.00824305935068558,0,0,-0.00051874542652469,2.14971515048329e-06,-3.79490411904823e-07,0,0,0
-118.4456963,47.43437084,-0.00205535784420612,0,0.000710289756428513,0,0,0,0,0,0,0,0,0
-118.0911812,47.43437084,-0.000877294151413719,0,0.000320240801309853,0,0,0,0,0,-1.43187849800723e-08,0,0,0
-120.7326873,47.19456448,0.0257369958822909,0,0.00568980672041347,0.00963176410937463,0,0.00938383075463184,-0.000210303367864489,0,-4.67995400262553e-07,4.7845688064472e-07,-5.30471443862781e-08,0
-120.3797774,47.19456448,0.000304578744829493,0,4.67578159659484e-05,0.000114135839016573,0,7.71956126453616e-05,2.43487864846785e-06,2.90741383284955e-08,-5.52255077714086e-09,7.71366995696306e-09,-1.31051904424247e-09,0
-120.0268674,47.19456448,-0.00115781010621217,0,0.000216026919579131,0.000303151282042764,0,-5.95817268889805e-05,-6.90147449778574e-06,6.53471791047579e-08,-7.25265385412188e-09,7.95929333835849e-09,-1.30450928530963e-09,0
-119.6739574,47.19456448,-0.0575803715415191,0,0.0220486089307687,0.0204536069909309,0,0,-0.00128834783408313,5.30609795296449e-06,1.72301531867274e-06,-9.75373586317473e-07,0,0
-119.3210474,47.19456448,-0.0159489631210427,0,0.00436173042632945,0.00410818140277395,0,0,-0.000258324346099125,1.01300758936121e-06,6.25796920560958e-07,-1.75365278455179e-07,0,0
-118.9681375,47.19456448,-0.00465901764116062,0,0.00157946995884897,0.0014601643085753,0,0,0,0,-4.92927407620183e-08,0,0,0
-118.2623175,47.19456448,-0.000268264265760025,0,8.2474231433452e-05,0,0,0,0,0,-3.67694657870456e-09,0,0,0
-117.9094076,47.19456448,-3.84275858160204e-05,0,1.2852548997409e-05,1.18804709813105e-05,0,0,0,3.09616876285965e-09,-5.63360155116987e-10,8.57512478623154e-11,0,0
-120.8932545,46.95475812,0,0,0.00145403352251249,0.00240192855690699,0,0.00112358067711863,-5.74892441445405e-05,0,0,1.61854954976984e-07,-6.1046339935424e-09,0
