"longitude","latitude","Herbaceous.Croplands.PLAND","Sparse.Shrublands.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Shrubland.Grassland.Mosaics.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Wetlands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND"
-119.1366274,46.95475812,59.86920333,0,90.84423306,2.675386445,0,0,0.089179548,1.27824019,1.12960761,2.764565993,0,0
-118.4339765,46.95475812,40.70718878,0,99.94155465,0.058445354,0,0,0,0,0.438340152,0,0,0
-118.0826511,46.95475812,32.93697979,0,100,0,0,0,0,0,0.059453032,0,0,0
-117.7313257,46.95475812,67.65049679,0,100,0,0,0,0,0,0.175336061,0,0,0
-121.0544973,46.71495176,1.378914105,0,34.44412525,2.642918702,0,17.35133582,7.526572824,0.114909509,0.775639184,0.488365412,37.92013789,0
-120.7047362,46.71495176,12.77030976,0,77.06019871,2.630040912,0,7.656341321,5.844535359,0.175336061,16.97837522,0.029222677,6.633547633,0
-120.354975,46.71495176,0.775639184,0,99.82763574,0.114909509,0,0,0.057454754,0,1.694915254,0,0,0
-120.0052139,46.71495176,11.13383986,0,94.62302747,2.19170076,0,0,0.263004091,1.782583285,1.110461718,0.526008182,0,0
-119.6554528,46.71495176,17.81097386,0,93.22033898,4.711289859,0,0,0,2.068371158,1.292731974,0.229819018,0,0
-119.3056916,46.71495176,40.12273524,0,99.29865576,0.613676213,0,0,0,0.08766803,0.555230859,0,0,0
-118.6061693,46.71495176,35.62244302,0,98.91876096,0.496785506,0,0,0.029222677,0.555230859,0.584453536,0.058445354,0,0
-118.2564082,46.71495176,29.98246639,0,99.38632379,0.233781414,0,0,0,0.379894798,0.146113384,0.116890707,0,0
-117.9066471,46.71495176,27.89428325,0,98.10399311,1.378914105,0,0,0,0.488365412,0.086182132,0.287273772,0,0
-121.2164246,46.4751454,0.089179548,0,28.95362663,3.210463734,0,16.97384067,4.607609988,1.843043995,0,0.505350773,44.14387634,0.178359096
-120.8682078,46.4751454,20.80856124,0,73.81093936,0.743162901,0,5.79667063,6.004756243,0,0.386444709,0.267538644,13.64447087,0
-120.519991,46.4751454,54.0327294,0,96.66861485,0.789012274,0,0.204558738,2.337814144,0,9.438924605,0,0,0
-120.1717743,46.4751454,30.46967895,0,95.03567182,1.961950059,0,0,2.824019025,0.178359096,6.77764566,0,0,0
-119.8235575,46.4751454,0.701344243,0,99.82466394,0.08766803,0,0,0.08766803,0,0.08766803,0,0,0
-119.4753407,46.4751454,12.30677765,0,92.7764566,6.302021403,0,0,0.089179548,0.683709869,3.38882283,0.089179548,0,0
-119.1271239,46.4751454,58.38690824,0,95.41203974,3.711279953,0,0,0,0.789012274,0.175336061,0.233781414,0,0
-118.7789071,46.4751454,33.53151011,0,98.45422117,0.743162901,0,0,0,0.802615933,0.772889417,0.089179548,0,0
-118.4306903,46.4751454,46.78953627,0,99.078478,0.445897741,0,0,0,0.445897741,0.267538644,0.029726516,0,0
-118.0824735,46.4751454,35.25564804,0,98.63258026,0.653983353,0,0,0,0.713436385,1.099881094,0,0,0
-117.7342567,46.4751454,32.90725327,0,98.03804994,0.743162901,0,0,0.059453032,1.010701546,0.653983353,0.14863258,0,0
-121.0323532,46.23533904,0,0,22.23845704,0,0,37.87258913,7.422559906,0,0,0,32.46639392,0
-120.6856611,46.23533904,0.058445354,0,90.91174752,0.058445354,0,7.013442431,1.54880187,0,0.08766803,0,0.467562829,0
-120.338969,46.23533904,16.33547633,0,99.76621859,0.204558738,0,0,0.029222677,0,0,0,0,0
-119.9922769,46.23533904,58.25912094,0,96.66762425,1.522550991,0,0,1.809824763,0,6.693478885,0,0,0
-119.6455848,46.23533904,58.5622443,0,99.18176505,0.292226768,0,0,0.526008182,0,2.250146113,0,0,0
-119.2988928,46.23533904,20.82734846,0,78.42573973,10.91640333,0,0,6.521114622,0.948003447,27.2048262,3.246193623,0,0
-120.8519944,45.99553268,0,0,26.51605232,0,0,34.09631391,3.002378121,0,0,0,36.38525565,0
-120.5068077,45.99553268,0,0,81.51010702,0,0,9.007134364,2.824019025,0,0,0,6.658739596,0
-120.1616211,45.99553268,9.096313912,0,99.13793103,0.862068966,0,0,0,0,0.059453032,0,0,0
-119.8164344,45.99553268,30.97502973,0,86.117717,7.90725327,0,0,0.297265161,0.089179548,1.426872771,0.891795482,0,0
-119.4712477,45.99553268,61.10461718,0,91.35008767,4.091174752,0,0,0.555230859,0.847457627,3.886616014,0.555230859,0,0
-119.126061,45.99553268,53.77526754,0,96.49227111,0.416171225,0,0,0,1.218787158,0.951248514,0.772889417,0,0
-121.0190003,45.75572631,19.78375219,0,73.37814144,1.315020456,0,4.850964348,0.116890707,0.467562829,0.964348334,0.292226768,18.08883694,0.08766803
