"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
233265,52.7101107951387,-117.204467368087,2194,19.6960841613091,14.2314436002338,0,0,0,0,0,14.6990064289889,2.04558737580362,23.2320280537698,25.4529514903565,0,0.05844535359439,0.0292226767971946,0,0,0,0,0,0.292226767971946
234764,52.4703044337446,-117.745809211638,2135,23.6411455289304,10.958503798948,0,0,0,0,0,18.7025131502046,5.49386323787259,17.1244886031561,22.530683810637,0,0,0,0,0,0,0,0,2.54237288135594
234765,52.4703044337446,-117.352150335731,2187,22.3543400713437,9.06658739595723,0,0,0,0,0,16.9738406658739,3.50772889417361,23.9892984542211,21.9381688466111,0,0.0594530321046374,0.0297265160523187,0,0,0,0,0,2.43757431629013
234766,52.4703044337446,-116.958491459823,2383,35.739333722969,5.69842197545295,0,0,0,0,0,7.0718877849211,0.672121566335476,18.9070718877849,28.8427819988311,0,0,0.0876680303915839,0,0,0,0,0,0.204558737580363
234767,52.4703044337446,-116.564832583915,1895,8.17479191438764,54.8156956004757,0,0.0297265160523187,0,0.0297265160523187,0,13.7336504161713,0.356718192627824,11.8014268727705,10.9988109393579,0,0,0.0594530321046373,0,0,0,0,0,0.653983353151011
236263,52.2304980723505,-118.283335257239,1760,14.2092746730083,18.3709869203329,0,0,0.0891795481569563,0.564803804994055,0,14.922711058264,7.6397146254459,19.8870392390011,14.3876337693222,0,0,0,0,0,0,0,0,1.66468489892985
236264,52.2304980723505,-117.891806263436,2331.5,23.9298454221165,3.32936979785969,0,0,0,0.0297265160523187,0,3.80499405469679,4.07253269916766,8.97740784780024,6.27229488703924,0,0,0,0,0,0,0,0,0.89179548156956
236265,52.2304980723505,-117.500277269632,2364,34.8394768133175,3.6563614744352,0,0,0,0,0,5.76694411414982,2.11058263971463,8.97740784780023,11.5933412604043,0,0,0,0,0,0,0,0,2.19976218787159
236266,52.2304980723505,-117.108748275828,2338,37.0251315020456,3.8281706604325,0,0,0,0,0,11.2507305669199,2.65926358854471,18.4102863822326,20.9526592635886,0,0,0,0,0,0,0,0,1.1104617182934
236267,52.2304980723505,-116.717219282025,2197,17.5089179548157,15.1605231866825,0,0,0,0,0,14.0309155766944,1.96195005945303,20.7193816884661,26.2782401902497,0,0,0,0,0,0,0,0,0.862068965517241
236268,52.2304980723505,-116.325690288221,1940,8.79602571595558,44.8860315604909,0,0,0,0,0,11.6014026884863,0.584453535943893,11.6598480420807,19.4038573933372,0,0,0,0,0,0,0,0,0.37989479836353
237764,51.9906917109565,-118.038288614079,1439,6.12366230677765,35.6420927467301,0,0,0.505350772889418,0.594530321046374,0,17.5089179548157,4.22116527942925,16.4684898929846,8.26397146254459,0,0,0,0,0,0,0,0.535077288941736,2.34839476813318
237765,51.9906917109565,-117.64885979389,1927,21.9084423305589,11.2663495838288,0,0,0.118906064209275,0.23781212841855,0,13.3769322235434,5.55885850178359,23.9001189060642,14.3579072532699,0.0297265160523186,0,0,0,0,0,0,0,0.980975029726516
237766,51.9906917109565,-117.259430973701,2180,31.3020214030915,4.84542211652795,0,0,0.148632580261593,0.148632580261593,0,5.20214030915577,2.46730083234245,19.0844233055886,13.1391200951249,0,0,0,0,0,0,0,0,2.17003567181927
237767,51.9906917109565,-116.870002153512,2110,28.6860879904875,11.7717003567182,0,0,0,0,0,11.5933412604043,2.46730083234245,19.9762187871581,18.0737217598098,0,0,0,0,0,0,0,0,5.05350772889417
237768,51.9906917109565,-116.480573333324,2205,24.3132670952659,6.75043834015197,0,0,0,0,0,10.2279368790181,1.98714202220923,28.6674459380479,26.3588544710696,0,0.0876680303915838,0,0,0,0,0,0,0.789012273524255
237769,51.9906917109565,-116.091144513135,2136,6.62901307966706,14.0309155766944,0,0,0,0,0,23.8109393579073,2.67538644470868,27.6753864447087,24.7919143876338,0,0.178359096313912,0.0297265160523187,0,0,0,0,0,0.208085612366231
237770,51.9906917109565,-115.701715692946,1706,0.0584453535943892,61.3676212741087,0,0,0,0,0,24.5178258328463,1.05201636469901,6.86732904734074,6.13676212741087,0,0,0,0,0,0,0,0,0.087668030391584
239266,51.7508853495624,-117.410551544835,1726,12.1878715814507,20.2734839476813,0,0,0.089179548156956,0.118906064209275,0,21.4625445897741,5.26159334126041,21.3436385255648,14.0011890606421,0.0297265160523186,0,0,0,0,0,0,0.178359096313912,2.85374554102259
239267,51.7508853495624,-117.02319373829,2119,28.2104637336504,7.84780023781213,0,0,0.0297265160523187,0.297265160523187,0,13.4661117717003,3.62663495838288,15.7847800237812,13.1688466111772,0.059453032104637,0.0297265160523187,0,0,0,0,0,0,0.743162901307967
239268,51.7508853495624,-116.635835931745,2269,34.5719381688466,3.92390011890607,0,0,0,0,0,12.3959571938169,4.75624256837099,15.3091557669441,17.2711058263972,0,0,0,0,0,0,0,0,1.54577883472057
