"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
236268,52.2304980723505,-116.325690288221,1940,8.27001753360608,42.4313267095266,0,0,0,0,0,14.2898889538282,0.409117475160725,13.8515488018703,17.8842781998831,0,0,0,0,0,0,0,0,0.263004091174752
237764,51.9906917109565,-118.038288614079,1439,6.56956004756243,35.1961950059453,0,0,0.297265160523187,0.564803804994055,0,19.9464922711058,2.49702734839477,17.5089179548157,6.89655172413793,0,0,0,0,0,0,0,0.564803804994055,2.11058263971463
237765,51.9906917109565,-117.64885979389,1927,24.3162901307967,11.0879904875149,0,0,0.118906064209275,0.118906064209275,0,15.9334126040428,3.41854934601665,26.9024970273484,12.1581450653983,0.0594530321046373,0,0,0,0,0,0,0,0.148632580261593
237766,51.9906917109565,-117.259430973701,2180,35.5826397146254,4.34007134363853,0,0,0,0.178359096313912,0,9.21521997621879,1.63495838287753,20.5707491082045,10.3151010701546,0,0,0,0,0,0,0,0,1.15933412604043
237767,51.9906917109565,-116.870002153512,2110,30.5588585017836,17.2116527942925,0,0,0,0,0,10.6123662306778,1.09988109393579,19.6195005945303,15.6064209274673,0,0,0.0297265160523187,0,0,0,0,0,5.32104637336504
237768,51.9906917109565,-116.480573333324,2205,23.9333722969024,15.2834599649328,0,0,0,0,0,11.2799532437171,1.46113383985973,23.3781414377557,23.5827001753361,0,0.0584453535943892,0,0,0,0,0,0,1.51957919345412
237769,51.9906917109565,-116.091144513135,2136,6.27229488703924,13.3472057074911,0,0,0,0,0,25.6242568370987,1.66468489892985,31.6290130796671,21.3139120095125,0,0.118906064209275,0,0,0,0,0,0,0.089179548156956
237770,51.9906917109565,-115.701715692946,1706,0,66.364699006429,0,0,0,0,0,20.6019871420222,0.555230859146698,8.32846288720047,4.14962010520164,0,0,0,0,0,0,0,0,0.204558737580362
239266,51.7508853495624,-117.410551544835,1726,13.4661117717004,22.1165279429251,0,0,0.0594530321046373,0.0297265160523187,0,24.1379310344828,4.07253269916766,19.8870392390012,11.4447086801427,0.0594530321046373,0,0,0,0,0,0,0.208085612366231,1.57550535077289
239267,51.7508853495624,-117.02319373829,2119,29.4887039239001,9.45303210463734,0,0,0.0297265160523187,0.118906064209275,0,14.7146254458977,1.81331747919144,17.0035671819263,12.2770511296076,0.148632580261593,0,0,0,0,0,0,0,0.416171224732461
